,BHK,Rent,Size,Area_Type,City,Furnishing_Status,Tenant_Preferred,Bathroom,Point_Contact,Floor_Number,Total_Floor
293,2,0.003944209443237681,0.18648310387984982,2,4,2,1,2,2,0,2
294,2,0.001514805076026066,0.07384230287859823,2,4,2,1,1,2,2,3
295,3,0.0025151480507602606,0.09887359198998748,2,4,2,1,1,2,0,4
296,2,0.002658054190008003,0.09887359198998748,1,4,2,2,2,2,1,2
297,3,0.0025151480507602606,0.11138923654568209,1,4,1,1,2,2,0,3
298,1,0.0010860866582828397,0.0425531914893617,1,4,1,1,1,2,0,3
299,2,0.0022293357722647767,0.09887359198998748,1,4,2,1,1,2,0,2
300,2,0.005373270835715102,0.19899874843554444,1,4,2,0,2,2,0,3
301,3,0.009660455013147363,0.12540675844806007,1,4,1,1,2,2,2,3
302,3,0.003944209443237681,0.14893617021276595,1,4,2,0,2,2,0,2
303,2,0.005373270835715102,0.08635794743429286,2,4,0,1,1,2,1,2
304,2,0.003086772607751229,0.12390488110137672,2,4,1,1,1,2,1,3
305,2,0.0019435234937692921,0.09887359198998748,1,4,2,0,1,2,0,3
306,1,0.0005144621012918714,0.061326658322903634,2,4,1,1,1,2,0,1
307,3,0.005373270835715102,0.14893617021276595,1,4,1,0,2,2,0,1
308,1,0.0022293357722647767,0.055068836045056316,1,4,2,0,1,0,0,2
309,3,0.0033725848862467133,0.1176470588235294,1,4,2,1,2,2,0,2
310,1,0.0016577112152738082,0.0425531914893617,1,4,2,1,1,0,0,2
311,1,0.0022293357722647767,0.055068836045056316,1,4,2,1,1,0,0,3
312,1,0.0022293357722647767,0.06758448060075092,1,4,1,0,1,2,0,2
313,2,0.0025151480507602606,0.03629536921151439,1,4,2,0,1,2,0,1
314,3,0.003944209443237681,0.15519399249061328,2,4,1,1,2,2,0,3
315,2,0.0016577112152738082,0.08635794743429286,2,4,2,1,1,2,2,3
316,3,0.0019435234937692921,0.10037546933667083,2,4,2,1,2,2,0,3
317,2,0.0019435234937692921,0.06758448060075092,2,4,2,1,1,2,0,2
318,1,0.0010860866582828397,0.061326658322903634,2,4,1,1,1,2,0,1
319,1,0.0036583971647421976,0.03879849812265331,1,4,0,0,1,2,1,2
320,2,0.0010860866582828397,0.07384230287859823,2,4,2,1,1,2,0,2
321,2,0.0010860866582828397,0.05131414267834793,1,4,2,0,1,2,0,2
322,3,0.003086772607751229,0.13642052565707133,2,4,2,0,1,2,0,2
323,1,0.0005716245569909683,0.026282853566958697,2,4,2,1,1,2,3,4
324,2,0.0020864296330170345,0.08635794743429286,1,4,1,1,2,2,0,2
325,3,0.004230021721733165,0.14893617021276595,1,4,2,1,2,0,0,2
